Year,United States Census Bureau,Population Reference Bureau,United Nations Department of Economic and Social Affairs,Maddison,HYDE,Tanton,Biraben,McEvedy &,Thomlinson,Durand,Clark
1997,"5,857,972,543","5,840,000,000","5,898,688,337","5,842,122,000",,,,,,,
1998,"5,935,213,248",,"5,975,303,657","5,921,366,000",,,,,,,
1999,"6,012,074,922",,"6,051,478,010","5,999,622,000",,,,,,,
2000,"6,088,571,383","6,067,000,000","6,127,700,428","6,076,558,000","6,145,000,000",,,"5,750,000,000",,,
2001,"6,165,219,247","6,137,000,000","6,204,147,026","6,154,791,000",,,,,,,
2002,"6,242,016,348","6,215,000,000","6,280,853,817","6,231,704,000",,,,,,,
2003,"6,318,590,956","6,314,000,000","6,357,991,749","6,308,364,000",,,,,,,
2004,"6,395,699,509","6,396,000,000","6,435,705,595","6,374,056,000",,,,,,,
2005,"6,473,044,732","6,477,000,000","6,514,094,605","6,462,987,000",,,,,,,
2006,"6,551,263,534","6,555,000,000","6,593,227,977","6,540,214,000",,,,,,,
2007,"6,629,913,759","6,625,000,000","6,673,105,937","6,616,689,000",,,,,,,
2008,"6,709,049,780","6,705,000,000","6,753,649,228","6,694,832,000",,,,,,,
2009,"6,788,214,394","6,809,972,000","6,834,721,933","6,764,086,000",,,,,,,
2010,"6,858,584,755","6,892,319,000","6,916,183,482",,,,,,,,
2011,"6,935,999,491","6,986,951,000","6,997,998,760",,,,,,,,
2012,"7,013,871,313","7,057,075,000","7,080,072,417",,,,,,,,
2013,"7,092,128,094","7,136,796,000","7,162,119,434",,,,,,,,
2014,"7,169,968,185","7,238,184,000","7,243,784,000",,,,,,,,
2015,"7,247,892,788","7,336,435,000","7,349,472,000",,,,,,,,
2016,"7,325,996,709","7,418,151,841",,,,,,,,,
